nazwa_zmiennej,typ_ruchu_lotniczego,miasto,rok,przedzial_czasu,liczba_pasazerow,udzial_w_rynku_[proc]
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Antalya",2024,"pierwsza po³owa roku",724724,0.2196
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Antalya",2023,"pierwsza po³owa roku",559500,0.2385
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Hurghada",2024,"pierwsza po³owa roku",324332,0.0983
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Hurghada",2023,"pierwsza po³owa roku",188112,0.0802
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Marsa Alam",2024,"pierwsza po³owa roku",251828,0.0763
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Marsa Alam",2023,"pierwsza po³owa roku",164030,0.0699
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Szarm el-Szejk",2024,"pierwsza po³owa roku",127186,0.0385
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Szarm el-Szejk",2023,"pierwsza po³owa roku",35784,0.0153
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Heraklion",2024,"pierwsza po³owa roku",122119,0.0370
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Heraklion",2023,"pierwsza po³owa roku",85168,0.0363
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Rodos",2024,"pierwsza po³owa roku",101660,0.0308
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Rodos",2023,"pierwsza po³owa roku",93082,0.0397
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Bodrum",2024,"pierwsza po³owa roku",97485,0.0295
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Bodrum",2023,"pierwsza po³owa roku",73901,0.0315
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Palma de Mallorca",2024,"pierwsza po³owa roku",90147,0.0273
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Palma de Mallorca",2023,"pierwsza po³owa roku",58827,0.0251
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Kos",2024,"pierwsza po³owa roku",76399,0.0231
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Kos",2023,"pierwsza po³owa roku",53208,0.0227
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Djerba",2024,"pierwsza po³owa roku",74484,0.0226
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Djerba",2023,"pierwsza po³owa roku",45792,0.0195
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Zakintos",2024,"pierwsza po³owa roku",74037,0.0224
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Zakintos",2023,"pierwsza po³owa roku",67614,0.0288
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Fuerteventura",2024,"pierwsza po³owa roku",53255,0.0161
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Fuerteventura",2023,"pierwsza po³owa roku",52024,0.0222
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Tirana",2024,"pierwsza po³owa roku",52140,0.0158
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Tirana",2023,"pierwsza po³owa roku",35726,0.0152
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Wiedeñ",2024,"pierwsza po³owa roku",49504,0.0150
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Wiedeñ",2023,"pierwsza po³owa roku",18575,0.0079
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Izmir",2024,"pierwsza po³owa roku",49337,0.0149
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Izmir",2023,"pierwsza po³owa roku",39722,0.0169
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Chania",2024,"pierwsza po³owa roku",48944,0.0148
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Chania",2023,"pierwsza po³owa roku",31418,0.0134
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Enfidha ",2024,"pierwsza po³owa roku",48003,0.0145
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Enfidha ",2023,"pierwsza po³owa roku",22066,0.0094
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Burgas",2024,"pierwsza po³owa roku",42652,0.0129
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Burgas",2023,"pierwsza po³owa roku",57167,0.0244
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Korfu",2024,"pierwsza po³owa roku",40523,0.0123
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Korfu",2023,"pierwsza po³owa roku",33210,0.0142
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Alicante",2024,"pierwsza po³owa roku",38786,0.0118
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Alicante",2023,"pierwsza po³owa roku",19824,0.0084
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Monastir",2024,"pierwsza po³owa roku",38085,0.0115
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Monastir",2023,"pierwsza po³owa roku",29702,0.0127
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Gran Canaria",2024,"pierwsza po³owa roku",35587,0.0108
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Gran Canaria",2023,"pierwsza po³owa roku",35545,0.0152
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Dalaman",2024,"pierwsza po³owa roku",31318,0.0095
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Dalaman",2023,"pierwsza po³owa roku",19777,0.0084
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Funchal",2024,"pierwsza po³owa roku",30124,0.0091
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Funchal",2023,"pierwsza po³owa roku",18653,0.0080
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Larnaka",2024,"pierwsza po³owa roku",27962,0.0085
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Larnaka",2023,"pierwsza po³owa roku",25973,0.0111
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Pozosta³e miasta",2024,"pierwsza po³owa roku",649925,0.1969
"Liczba pasa¿erów obs³u¿onych w polskich portach lotniczych wed³ug miast","miêdzynarodowy ruch czarterowy","Pozosta³e miasta",2023,"pierwsza po³owa roku",481718,0.2053